"","N","L","a","p","S","d","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","diam","cl","mu","te","si","apl"
"680",27,36,2.20447602560564,0.91347551349969,0.999067747767052,0.0512820512820513,7,27,7,6,0,1,8,0,5,0,0,0,0,14,0.246575342465753,6,0.180089522129704,2.73684210526316,4.89508928571429
"681",13,14,1.92332482616894,0.756679350673332,1.07201696856319,0.0897435897435897,1,9,1,1,0,0,1,0,1,0,0,0,0,11,0.1875,2,0.137032030970855,0.947368421052632,3.90243902439024
"682",2,1,Inf,1,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,0,0,0,1
"683",6,7,3.91276552520588,0.164079197726652,1.242453324894,0.233333333333333,0,2,1,0,0,0,2,0,0,0,0,0,0,8,0,4,0.153049305675748,1.53814443128416,1.94117647058824
"684",7,6,2.45514222391639,0.819861407986192,0.598269588585257,0.142857142857143,0,5,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,2.66666666666667
"685",1,0,Inf,1,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA
"686",2,1,Inf,1,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,0,0,0,1
"687",3,4,2.92359338785195,0.819861407986192,0.636514168294813,0.666666666666667,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,4,0.333333333333333,0.444444444444444,1.33333333333333
"688",2,1,Inf,1,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,0,0,0,1
"689",2,1,Inf,1,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,0,0,0,1
"690",2,1,Inf,1,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,0,0,0,1
"691",2,1,Inf,1,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,0,0,0,1
"692",1,0,Inf,1,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA
"693",4,3,NA,1,0.693147180559945,0.25,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1.66666666666667
"694",7,8,2.08202128066672,0.867478102752939,0.955699891112534,0.19047619047619,0,3,2,0,0,0,2,1,0,0,0,0,0,4,0,4,0.214285714285714,0.920300806870349,2
"695",7,8,2.39800360275913,0.765763173908239,0.796311640173813,0.19047619047619,0,3,2,0,0,0,0,1,0,0,0,0,0,5,0,4,0.178804166769689,0.387096774193548,2.33333333333333
"696",38,47,1.69639097659363,0.91347551349969,0.514412833558013,0.0334281650071124,16,69,18,17,0,0,18,3,1,0,0,0,0,16,0.0208333333333333,6,0.0879898103298127,3.00644683032937,5.39073426573427
"697",3,2,2.92359338785195,0.819861407986192,0.636514168294813,0.333333333333333,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1.33333333333333
"698",2,1,Inf,1,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,0,0,0,1
"699",2,1,Inf,1,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,0,0,0,1
"700",6,6,2.25574890974031,0.700036232465194,1.01140426470735,0.2,1,7,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0.135213020743189,0.518518518518518,2.19047619047619
"701",2,2,Inf,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,NA,2,0,0,1
"702",5,6,3.04803825991038,0.765763173908239,0.950270539233235,0.3,0,1,1,1,0,0,2,0,1,0,0,0,0,4,0.375,2,0.183659166810898,0.905692857554947,1.8125
"703",2,1,Inf,1,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,0,0,0,1
"704",3,4,2.92359338785195,0.819861407986192,0.636514168294813,0.666666666666667,0,0,0,0,0,0,0,0,0,1,0,0,0,3,1,2,0.333333333333333,0.417209722462608,1.33333333333333
"705",3,2,2.92359338785195,0.819861407986192,0.636514168294813,0.333333333333333,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1.33333333333333
"706",1,0,Inf,1,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA
"707",1,0,Inf,1,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA
"708",9,12,1.90546660985915,0.981178452782195,0.848685557726417,0.166666666666667,0,5,3,0,0,0,3,1,0,0,0,0,0,8,0,6,0.17831584085097,1.3466444448718,3.58333333333333
"709",7,7,2.08202128066672,0.867478102752939,0.955699891112534,0.166666666666667,0,4,1,0,0,0,1,0,0,0,0,0,0,5,0,2,0.131185119150641,0.517241379310345,2.31818181818182
"710",6,10,3.30831206542234,0.519277926724758,1.32966134885476,0.333333333333333,0,0,1,0,0,0,1,2,0,0,0,1,0,6,0.428571428571429,8,0.520426041486378,1.64399717809398,2.04
"711",9,10,2.15627127033194,0.765763173908239,0.683738905848754,0.138888888888889,0,5,2,0,0,0,0,1,0,0,0,0,0,7,0,4,0.11791979160657,0.333333333333333,3.02564102564103
"712",1,0,Inf,1,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA
"713",3,2,2.92359338785195,0.819861407986192,0.636514168294813,0.333333333333333,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1.33333333333333
"714",6,6,2.25574890974031,0.700036232465194,1.01140426470735,0.2,0,3,1,0,0,0,1,0,0,0,0,0,0,4,0,2,0.166666666666667,0.5,2.0625
"715",4,3,NA,1,0.693147180559945,0.25,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1.66666666666667
"716",4,3,NA,1,0.693147180559945,0.25,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1.66666666666667
"717",1,0,Inf,1,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA
"718",3,2,2.92359338785195,0.819861407986192,0.636514168294813,0.333333333333333,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1.33333333333333
"719",68,78,2.0615977334307,0.926409845649363,0.805297337427778,0.0171202809482002,7,75,3,7,2,0,3,0,2,0,0,0,0,55,0.11214953271028,4,0.0934856895310067,2.85627304915807,17.813127090301
